,Product Name,Price,Product Link,Product Image,Items Sold
0,Acer Aspire 1 A115-32-C33A(Silver) 15.6-Inch FHD Display With Preloaded Microsoft Office 365 Personal,$438.00,https://www.lazada.sg/products/acer-aspire-1-a115-32-c33asilver-156-inch-fhd-display-with-preloaded-microsoft-office-365-personal-i1102780293-s10148640167.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/f73ce33c2b1fd9ed4997798b7a59f0d3.jpg,58 sold
1,[2021 Model] Acer Aspire 3 A315-58-55S3(Silver) 15.6 Inches FHD Laptop | Intel Core i5-1135G7 | 8GB RAM,$858.00,https://www.lazada.sg/products/2021-model-acer-aspire-3-a315-58-55s3silver-156-inches-fhd-laptop-intel-core-i5-1135g7-8gb-ram-i669456464-s9964580484.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/2553921742c7aa4582de2a98f985641a.jpg,11 sold
2,Fetal Hair Pendant DIY Breast Milk Souvenir S925 Sterling Silver Necklace Homemade by Hand Fetal Hair Material Package Clover,$38.50,https://www.lazada.sg/products/fetal-hair-pendant-diy-breast-milk-souvenir-s925-sterling-silver-necklace-homemade-by-hand-fetal-hair-material-package-clover-i1985200946-s10742290675.html?search=1,https://filebroker-cdn.lazada.sg/kf/S00e4523a7b684d95a0b863740ca14170T.jpg,No Information
3,ThinkPad Yoga 12 touch screen (12 inches)/8GB RAM/256GB SSD,$560.17,https://www.lazada.sg/products/thinkpad-yoga-12-touch-screen-12-inches8gb-ram256gb-ssd-i1944685668-s10410580123.html?search=1,https://my-test-11.slatic.net/p/5ed589f226f25f93a2c8c61a34a3d7fd.jpg,No Information
4,"HP, 2018, Elitebook 840 G1 14"" HD LED-Backlit Anti-Glare Laptop Computer, Intel Dual-Core i5-4300U up to 2.9GHz, 4GB RAM, 500GB HDD, USB 3.0, Bluetooth, Window 10 Pro (Renewed)",$378.57,https://www.lazada.sg/products/hp-2018-elitebook-840-g1-14-hd-led-backlit-anti-glare-laptop-computer-intel-dual-core-i5-4300u-up-to-29ghz-4gb-ram-500gb-hdd-usb-30-bluetooth-window-10-pro-renewed-i1928324572-s10314317128.html?search=1,https://my-test-11.slatic.net/p/5337d7d2f2bfaec4d21ee5599e8d5d82.jpg,No Information
5,"12.5"" Laptop Notebook Latitude E6220 Intel Core i7-2620M X2 2.8GHz 8GB 250GB",$224.93,https://www.lazada.sg/products/125-laptop-notebook-latitude-e6220-intel-core-i7-2620m-x2-28ghz-8gb-250gb-i1956552704-s10498131898.html?search=1,https://my-test-11.slatic.net/p/a55804b0ff8ea2ca16ce9fe512edb363.jpg,No Information
6,Infant Breast Milk Lanugo Longevity Locket Lanugo Bead Necklace Pendant Baby Souvenir DIY Material Box Birthday Lettering Lock,$35.40,https://www.lazada.sg/products/infant-breast-milk-lanugo-longevity-locket-lanugo-bead-necklace-pendant-baby-souvenir-diy-material-box-birthday-lettering-lock-i1985331041-s10742372553.html?search=1,https://filebroker-cdn.lazada.sg/kf/Sff6f1f1e55d24df8bd5a15cbdbd6a801e.jpg,No Information
7,"【FREE GIFT】HP ProBook 6570B (C4R43US#ABA) Notebook i5 i7 256G SSD3320M (2.60GHz) Intel HD Graphics 4000 15.6"" Windows 7 Professional 64-Bit",$437.35,https://www.lazada.sg/products/free-gifthp-probook-6570b-c4r43usaba-notebook-i5-i7-256g-ssd3320m-260ghz-intel-hd-graphics-4000-156-windows-7-professional-64-bit-i1956543378-s10497454431.html?search=1,https://my-test-11.slatic.net/p/2a1ecef09ceed1c9df3cf1b4c5147014.jpg,No Information
8,Liquid Pure Breast Milk Pendant DIY Baby Fetal Serve Self-Made Necklace Fetal Hair Pendant Baby Accessories Souvenir,$11.50,https://www.lazada.sg/products/liquid-pure-breast-milk-pendant-diy-baby-fetal-serve-self-made-necklace-fetal-hair-pendant-baby-accessories-souvenir-i1962041363-s10545162466.html?search=1,https://filebroker-cdn.lazada.sg/kf/S2be46a36353648418fc810d4bc18d03as.jpg,No Information
9,Homemade Cute Newborn Baby Fetal Hair Souvenir DIY Moon Decoration Baby Fetal Hair Collection Bottle Gift for First Month Celebration,$12.90,https://www.lazada.sg/products/homemade-cute-newborn-baby-fetal-hair-souvenir-diy-moon-decoration-baby-fetal-hair-collection-bottle-gift-for-first-month-celebration-i1961738575-s10543083238.html?search=1,https://filebroker-cdn.lazada.sg/kf/S91e80ffe04884210a063ebb4d41ec3a7g.jpg,No Information
