,Product Name,Price,Product Link,Product Image
0,[Brand New] Lenovo X1 Carbon Laptop/i5-8350U/8GB RAM/256GB SSD/FHD Touch 14inch/Win 10 Pro,"$1,060.00",https://www.qoo10.sg/item/LENOVO-BRAND-NEW-LENOVO-X1-CARBON-LAPTOP-I5-8350U-8GB-RAM-256GB-SSD/683640856?banner_no=1305330,https://gd.image-gmkt.com/li/131/797/1562797131.g_100-w-st_g.jpg
1,[Refurbished Laptop] ASUS ZenBook Flip14 UM462D / Ryzen 5 - 3500U / 16GB Ram / 512GB SSD /AMD Vega 8,"$1,099.00",https://www.qoo10.sg/item/ASUS-REFURBISHED-LAPTOP-ASUS-ZENBOOK-FLIP14-UM462D-RYZEN-5-3500U/695314065?banner_no=1305330,https://gd.image-gmkt.com/li/019/977/1650977019.g_100-w-st_g.jpg
2,[Refurbished Laptop] ASUS VivoBook Flip 14 TP412F/ i5 10th Gen / Touch/ 16GB Ram / 512GB SSD /Win 10,$899.00,https://www.qoo10.sg/item/ASUS-REFURBISHED-LAPTOP-ASUS-VIVOBOOK-FLIP-14-TP412F-I5-10TH-GEN/694356653?banner_no=1305330,https://gd.image-gmkt.com/li/720/245/1650245720.g_100-w-st_g.jpg
3,[Various Refurbished Dell 14 Inch Laptop] Dell Latitude E5450 E5470 E5480 E7470 E5490,$450.00,https://www.qoo10.sg/item/DELL-VARIOUS-REFURBISHED-DELL-14-INCH-LAPTOP-DELL-LATITUDE-E5450/675077364?banner_no=1305330,https://gd.image-gmkt.com/li/577/031/1643031577.g_100-w-st_g.jpg
4,[Various Dell 12.5 Inch Refurbished Laptop] Latitude E5270 E7250 E7270,$360.00,https://www.qoo10.sg/item/DELL-VARIOUS-DELL-12-5-INCH-REFURBISHED-LAPTOP-LATITUDE-E5270-E7250/675077389?banner_no=1305330,https://gd.image-gmkt.com/li/936/027/1643027936.g_100-w-st_g.jpg
5,[Various Asus Premium Refurbished Asus ROG Gaming Laptop] Asus ROG GL504G G752V GL703V GL552V GM501G,"$1,499.00",https://www.qoo10.sg/item/VARIOUS-ASUS-PREMIUM-REFURBISHED-ASUS-ROG-GAMING-LAPTOP-ASUS/696660150?banner_no=1305330,https://gd.image-gmkt.com/li/265/475/1652475265.g_100-w-st_g.jpg
6,[Brand New] Kingston Laptop / Desktop / 8GB / 16GB / DDR4 2666 MHz / SODIMM / UDIMM / RAM,$69.00,https://www.qoo10.sg/item/KINGSTON-BRAND-NEW-KINGSTON-LAPTOP-DESKTOP-8GB-16GB-DDR4-2666-MHZ-SODIMM/694062626?banner_no=1305330,https://gd.image-gmkt.com/li/172/996/1649996172.g_100-w-st_g.jpg
7,DYNACORE - ASUS LAPTOP 11.6 Inch N4020 BLUE E210MA-GJ185TS | 4GB MEMORY | Color- Peacock Blue,$488.00,https://www.qoo10.sg/item/ASUS-DYNACORE-ASUS-LAPTOP-11-6-INCH-N4020-BLUE-E210MA-GJ185TS-4GB/696842987?banner_no=1305330,https://gd.image-gmkt.com/li/588/618/1652618588.g_100-w-st_g.jpg
8,*LATEST AMD TOUCHSCREEN*Lenovo IdeaPad Flex 5 Laptop 15-AMD Ryzen™5 5500U/Win 10 Home/15.6 FHD/8GB RAM/512GB SSD/3Y Warranty,"$1,188.00",https://www.qoo10.sg/item/LATEST-AMD-TOUCHSCREEN-LENOVO-IDEAPAD-FLEX-5-LAPTOP-15-AMD-RYZEN/697387768?banner_no=1305330,https://gd.image-gmkt.com/li/040/287/1653287040.g_100-w-st_g.jpg
9,★New! Laptop/Tablet Case/Bag/Sleeve for MacBook/iPad/HP/ASUS/ Lenovo/Samsung/Surface★ Customised,$9.90,https://www.qoo10.sg/item/NEW-LAPTOP-TABLET-CASE-BAG-SLEEVE-FOR-MACBOOK-IPAD-HP-ASUS-LENOVO/544352698?banner_no=1305330,https://gd.image-gmkt.com/li/372/012/1315012372.g_100-w-st_g.jpg
10,[2021 Model] Acer Aspire 3 A314-35-C7VQ/C4AM (Pink/Silver) Laptop with 8GB RAM and 256GB SSD Storage,$560.00,https://www.qoo10.sg/item/ACER-2021-MODEL-ACER-ASPIRE-3-A314-35-C7VQ-C4AM-PINK-SILVER-LAPTOP/673836738?banner_no=1305330,https://gd.image-gmkt.com/li/021/680/1649680021.g_100-w-st_g.jpg
11,Acer Spin 1 SP114-31N-P7RT 14 FHD IPS Convertible Touch Screen Laptop with pre-loaded Office 365 ,$660.00,https://www.qoo10.sg/item/ACER-ACER-SPIN-1-SP114-31N-P7RT-14-FHD-IPS-CONVERTIBLE-TOUCH-SCREEN/698469865?banner_no=1305330,https://gd.image-gmkt.com/li/702/575/1655575702.g_100-w-st_g.jpg
12,[2021 NEW MODEL] Acer Swift 1 SF114-34-P8CH 14 Inch FHD IPS Thin and Light Laptop | 8GB LPDDR4X RAM,$678.00,https://www.qoo10.sg/item/2021-NEW-MODEL-ACER-SWIFT-1-SF114-34-P8CH-14-INCH-FHD-IPS-THIN/687765580?banner_no=1305330,https://gd.image-gmkt.com/li/997/651/1625651997.g_100-w-st_g.jpg
13,HP Laptop 15s-fq2015TU / i5-1135G7 / 8GB RAM / 512GB SSD / Win 10 / 11th Gen Intel / Thin and Light,$959.00,https://www.qoo10.sg/item/HP-OFFICIAL-STORE-HP-LAPTOP-15S-FQ2015TU-I5-1135G7-8GB-RAM-512GB-SSD-WIN-10-11TH/690676738?banner_no=1305330,https://gd.image-gmkt.com/li/445/057/1641057445.g_100-w-st_g.jpg
14,HP Pavilion Aero Laptop 13-be0051AU / AMD Ryzen 5 5600U / 8GB RAM / 256GB SSD / 13.3 FHD / Win 10,"$1,109.00",https://www.qoo10.sg/item/HP-OFFICIAL-STORE-HP-PAVILION-AERO-LAPTOP-13-BE0051AU-AMD-RYZEN-5-5600U-8GB-RAM/698553404?banner_no=1305330,https://gd.image-gmkt.com/li/832/300/1655300832.g_100-w-st_g.jpg
15,Samsung A22 5G 6/128GB-Samsung SG 1 Year Warranty,$318.00,https://www.qoo10.sg/item/SAMSUNG-SAMSUNG-A22-5G-6-128GB-SAMSUNG-SG-1-YEAR-WARRANTY/677991773?banner_no=1305330,https://gd.image-gmkt.com/li/455/687/1651687455.g_100-w-st_g.jpg
